N° auto;nom;adresse;complément;code INSEE;commune;région administrative;geo_ban;geo_insee;corrdonnees_finales
142831;ORANGERIE 2;117 AV HENRI BARBUSSE;;91201;Draveil;ILE-DE-FRANCE;48.686677, 2.408781;48.6778413772, 2.42197801862;48.686677, 2.408781
303281;CINE 104 SALLE 1;104 AV JEAN LOLIVE;;93055;Pantin;ILE-DE-FRANCE;48.89218, 2.408907;48.8983093876, 2.40872147475;48.89218, 2.408907
142752;ESPACE CULTUREL DU PARC;PLACE MAURICE NILES;;93029;Drancy;ILE-DE-FRANCE;48.927466, 2.438309;48.9234246259, 2.44492688692;48.927466, 2.438309
1314;BEVERLEY;14 RUE VILLE NEUVE;;75102;Paris 2me;ILE-DE-FRANCE;48.870051, 2.348686;48.8679033789, 2.34410716666;48.870051, 2.348686
30184;UGC CINE CITE O'PARINOR 1;LE HAUT DE GALY;CENTRE COMMERCIAL O'PARINOR;93005;Aulnay-sous-Bois;ILE-DE-FRANCE;48.960325, 2.473606;48.9458384367, 2.49329041687;48.960325, 2.473606
343762;ESPACE GEORGES SIMENON;PLACE CARNOT;;93064;Rosny-sous-Bois;ILE-DE-FRANCE;48.873327, 2.482728;48.8745763768, 2.4863404591;48.873327, 2.482728
30164;MELIES;134 RUE ANATOLE FRANCE;;93005;Aulnay-sous-Bois;ILE-DE-FRANCE;48.940586, 2.496291;48.9458384367, 2.49329041687;48.940586, 2.496291
60942;FORUM;PLACE DU FORUM;;94004;Boissy-Saint-Léger;ILE-DE-FRANCE;48.754035, 2.502015;48.7470359922, 2.52528049019;48.754035, 2.502015
433975;SALLE LIVE;RUE DES BUISSONS;CENTRE COMMERCIAL AEROVILLE;93073;Tremblay-en-France;ILE-DE-FRANCE;48.991044, 2.524032;48.9784304121, 2.55468501543;48.991044, 2.524032
384792;ESPACE CULTUREL LES 26 COULEURS;IMPASSE PASTEUR;;77407;Saint-Fargeau-Ponthierry;ILE-DE-FRANCE;48.535934, 2.547053;48.5390914714, 2.52499710746;48.535934, 2.547053
226040;GAUMONT CARRE SENART 1;3 ALLEE DU PREAMBULE;CENTRE COMMERCIAL CARRE SENART;77251;Lieusaint;ILE-DE-FRANCE;48.616119, 2.547927;48.6259910244, 2.54994732668;48.616119, 2.547927
292377;LE BIJOU 1;PLACE DE LA LIBERATION;;93051;Noisy-le-Grand;ILE-DE-FRANCE;48.849023, 2.552482;48.8361825401, 2.56443736814;48.849023, 2.552482
314451;ESPACE PAUL VALERY;72 ET 74 AVENUE ARDOUIN;;94059;Le Plessis-Trévise;ILE-DE-FRANCE;48.80535, 2.578145;48.8060154583, 2.57619846918;48.80535, 2.578145
356431;ESPACE PREVERT;QUARTIER DU PLESSIS LE ROI;;77445;Savigny-le-Temple;ILE-DE-FRANCE;48.57649, 2.579118;48.5884785769, 2.57373861268;48.57649, 2.579118
318801;APOLLO 1;62 AVENUE DE LA REPUBLIQUE;;77373;Pontault-Combault;ILE-DE-FRANCE;48.803412, 2.611316;48.7871411658, 2.61407436985;48.803412, 2.611316
429132;MEGA CGR 1;PROMENADE DU 7ÈME ART;CENTRE COMMERCIAL BAY 1 LOISIRS;77468;Torcy;ILE-DE-FRANCE;48.840592, 2.654959;48.8532553496, 2.65123227423;48.840592, 2.654959
444791;LA GRANGE;RUE AMBROISE PRO;;77487;Vaux-le-Pénil;ILE-DE-FRANCE;48.527795, 2.689584;48.5245871061, 2.69727154378;48.527795, 2.689584
162853;CINEPARADIS 1;10 AVENUE MARECHAL DE VILLARS;;77186;Fontainebleau;ILE-DE-FRANCE;48.400175, 2.71613;48.4066856508, 2.68031396389;48.400175, 2.71613
96533;JEAN GABIN;RUE PIERRE DE COUBERTIN;;77079;Champagne-sur-Seine;ILE-DE-FRANCE;48.398755, 2.80515;48.4093568314, 2.8079339272;48.398755, 2.80515
284362;LA BERGERIE;COUR EMILE ZOLA;;77327;Nangis;ILE-DE-FRANCE;48.555127, 3.0133;48.554637282, 3.00883892893;48.555127, 3.0133
